muni_id,type_of_violence,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,year,month
484019039,2,0,0,0,1,1,2010,10
484019039,2,0,0,0,2,2,2010,5
484019039,2,0,0,0,5,5,2010,7
484019039,2,0,0,0,4,4,2010,8
484019044,3,0,0,2,0,2,2010,9
484019045,2,0,0,0,1,1,2007,11
484019046,2,0,0,0,4,4,2006,5
484019046,2,0,0,0,1,1,2007,12
484019049,2,0,0,0,1,1,2010,4
484019049,2,0,0,0,1,1,2010,5
484020043,2,0,0,0,1,1,2007,6
484020067,1,5,0,0,0,5,1996,10
484020183,2,0,0,0,1,1,2007,6
484020252,1,1,1,0,0,2,1996,8
484020396,1,2,0,1,0,3,1996,8
484020412,1,5,2,2,0,9,1996,8
484020542,1,0,1,0,0,1,1998,4
484020542,2,0,0,0,2,2,2007,7
484023001,2,0,0,0,17,17,2007,1
484023001,2,0,0,0,1,1,2007,10
484023001,2,0,0,0,1,1,2007,12
484023001,2,0,0,0,1,1,2007,7
484023001,2,0,0,0,1,1,2007,9
484023001,2,0,0,0,2,2,2010,5
484023001,3,0,0,0,8,8,2010,8
484024048,3,0,0,0,0,0,1995,1
484024048,1,0,0,0,6,6,1996,6
484024048,1,0,1,0,0,1,1998,2
484024048,2,1,0,0,0,1,2007,2
484024048,2,0,5,0,0,5,2009,1
484025001,2,0,0,0,5,5,2007,11
484025001,2,0,2,0,0,2,2009,12
484025006,2,0,0,0,0,0,2005,1
484025006,2,0,2,0,15,17,2005,2
484025006,2,0,0,0,3,3,2006,1
484025006,2,0,0,0,2,2,2007,1
484025006,2,0,0,0,4,4,2007,10
484025006,2,0,0,0,6,6,2007,11
484025006,2,0,0,0,3,3,2007,12
484025006,2,0,0,0,67,67,2007,6
484025006,3,0,0,5,0,5,2007,6
484025006,2,0,0,0,4,4,2007,7
484025006,2,0,0,0,17,17,2007,8
484025006,2,0,0,0,9,9,2007,9
484025006,2,0,1,0,23,24,2008,4
484025006,2,0,0,0,10,10,2008,5
484025006,2,0,0,0,7,7,2008,7
484025006,2,0,0,0,12,12,2009,8
484025010,2,0,0,0,1,1,2007,6
484025011,2,0,0,0,1,1,2007,8
484025011,2,0,0,0,3,3,2008,4
484025012,2,0,0,0,1,1,2008,4
484025012,2,0,0,0,29,29,2010,6
484025013,2,0,0,0,2,2,2007,10
484025013,2,0,0,0,2,2,2008,4
484025016,2,0,0,0,2,2,2008,4
484026002,2,0,0,0,0,0,2007,12
484026017,2,0,0,0,0,0,2007,7
484026017,2,0,0,0,0,0,2007,9
484026030,2,0,0,0,0,0,2006,1
484026030,2,0,0,0,0,0,2007,1
484026030,2,0,0,0,0,0,2007,8
484026036,2,0,0,0,0,0,2007,7
484026036,2,0,0,0,7,7,2010,2
484026042,2,0,0,0,0,0,2007,7
484026043,2,0,0,0,0,0,2007,7
484026043,2,0,0,0,0,0,2007,9
484026043,2,0,0,0,2,2,2008,8
484027004,2,0,0,0,1,1,2007,3
484027004,2,0,0,0,3,3,2007,9
484028001,2,0,0,0,7,7,2010,11
484028003,2,0,0,0,1,1,2010,4
484028003,2,0,0,0,1,1,2010,5
484028007,2,0,0,0,7,7,2010,4
484028007,2,0,0,0,2,2,2010,5
484028009,2,0,0,0,20,20,2010,6
484028013,3,0,0,5,0,5,2010,6
484028015,2,0,0,0,47,47,2010,2
484028015,3,0,0,1,0,1,2010,2
484028015,2,0,0,0,8,8,2010,3
484028015,2,0,0,0,3,3,2010,4
484028016,2,0,0,0,1,1,2010,5
484028018,2,0,0,0,1,1,2010,5
